overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image,sentiment,cleaned_text,enhanced_rating,rating_diff
3,,True,"01 6, 2013",AUXPKOKEUZNEE,B004KNWX44,,Travis Tindell,"Personally, I do not NOT_celebrate NOT_Kwanzaa, NOT_but if I did, this would be a GO-TO card. I got it because I liked the design. I found it very interesting. Reminds me of Christmas.",Happy Kwanzaa!,1357430400,,Neutral,personally not notcelebrate notkwanzaa notbut would goto card got liked design found interesting reminds christmas,3.5598,0.5598000000000001
1,,True,"10 13, 2015",A2AE562TUHFZ3,B00AF0K82U,,Amazon Customer,Not NOT_delivered NOT_to NOT_recipeint,Lost in the ether,1444694400,,Negative,not notdelivered notto notrecipeint,1.8,0.8
1,,False,"09 23, 2014",ACE7LNO0SZ4PV,B004Q7CK9M,{'Gift Amount:': ' 50'},S. CHONG,"The claim number does not NOT_work, NOT_so NOT_I had to call the customer service for 30m. to solve the problem.",One Star,1411430400,,Negative,claim number not notwork notso noti call customer service solve problem,1.6775,0.6775
5,,True,"07 16, 2014",A2VQB2X77V5785,B00CRQ4CF4,,Dana Marshall,Perfect,Perfect,1405468800,,Positive,perfect,4.6575,0.34250000000000025
5,,True,"09 22, 2014",A14WFJTZS3BP9K,B00B2TFSO6,,Hermann Matute,Excelent service...very easy to use...,Five Stars,1411344000,,Positive,excelent servicevery easy use,4.5523,0.4477000000000002
5,,True,"03 11, 2018",AT17H42RVL64S,B004LLIKVU,{'Gift Amount:': ' 50'},Adrienne Hernandez,Quick and easy!,Five Stars,1520726400,,Positive,quick easy!,4.5941,0.4058999999999999
3,,False,"04 18, 2015",A3Q1OTSILGZ4FY,B00BXLVD8I,,Karliz,Good,Three Stars,1429315200,,Neutral,good,3.3523,0.35230000000000006
1,4,False,"10 17, 2017",A1KY6QFCNDDJP3,B01E4QRAX0,{'Gift Amount:': ' 20'},Honest Customer,Amazon forcing this gift card to be included in my registry.,Amazon Forcing Gift Card,1508198400,,Negative,amazon forcing gift card included registry,2.2459,1.2458999999999998
3,,True,"01 7, 2014",A2O9PNEWBW1EK,B0062ONJRE,,granny1,Again a beautifully designed gift card which my daughter said she was going to keep [after its buying power was gone]. The design helps give meaning to the gift card as a reminder for the reason for the season.,Nativity scene gift card,1389052800,,Neutral,beautifully designed gift card daughter said going keep buying power gone design help give meaning gift card reminder reason season,3.7218,0.7218
3,,True,"01 26, 2018",A2SFWTMA5NQYAI,B01E4QPDV6,{'Gift Amount:': ' 0'},outoftunefiddler,I wish I had not NOT_gifted NOT_that NOT_women the 100.00 at Christmas..,Three Stars,1516924800,,Neutral,wish not notgifted notthat notwomen christmas,3.3215,0.3214999999999999
3,,True,"04 16, 2015",A11YRDLT54H6H4,B0062ONLI6,,pele24,"So you want me to review a printable gift card? Ok. I spent a total of 2 minutes looking for that perfect gift that says: ""Hey I'm really too busy to pick out a real gift, but too self conscious to just give you money. So instead here's the equivalent of money that can only be spent at one place."" It was easy enough to purchase with lots of options for style and quantity. I chose a video game theme because that's what I might have considered buying had I put more effort into the gift. My ISP did an adequate job delivering the e-mail with the link for printing the gift card itself. My printer was awesome at printing the single page that represents the product itself, it spit that thing out in less than 10 seconds! I did get a small paper cut while folding the paper to make the card itself, but the antibiotic ointment I used helped heal that right up. I will say my brother showed an appropriate amount of joy when he received the gift card so that's good. I can only assume that he was happy with his purchase using the gift card, but if not NOT_I NOT_ca not NOT_say NOT_I NOT_could blame that on the gift card if he was not NOT_happy. NOT_All NOT_in all I'd call it a solid gift giving venture.",It's a gift card,1429142400,,Neutral,want review printable gift card ok spent total minute looking perfect gift say hey im really busy pick real gift self conscious give money instead here equivalent money spent one place easy enough purchase lot option style quantity chose video game theme thats might considered buying put effort gift isp adequate job delivering email link printing gift card printer awesome printing single page represents product spit thing less seconds! get small paper cut folding paper make card antibiotic ointment used helped heal right say brother showed appropriate amount joy received gift card thats good assume happy purchase using gift card not noti notca not notsay noti notcould blame gift card not nothappy notall notin id call solid gift giving venture,3.7966,0.7966000000000002
1,,True,"01 1, 2016",A1V837GV3I6OMA,B00CXZPG0O,,sherri,"Too darn cheap to give a real gift card. You have to print out a horrible little card that wreaks cheap cheap cheap. Then to top it off, they give you a polka-dotted envelope (printed on my own paper) that you have to cut out and fold and glue together. Geez, it is like something your kid would bring home from elementary school. Texas Roadhouse this is addressed to you: Really?? Do you know how embarrassing it is to give this as a gift? I am dead serious, do you have any idea? This is supposed to be a nice gift and your ""presentation card and envelope take away any resemblance of a thoughtful gift. I WILL NEVER NOT_BUY NOT_FROM NOT_YOU AGAIN, AND I WILL TELL AS MANY PEOPLE AS I CAN HOW CHEAP YOU ARE. UGHHH",DO NOT ORDER THIS BECAUSE,1451606400,,Negative,darn cheap give real gift card print horrible little card wreaks cheap cheap cheap top give polkadotted envelope printed paper cut fold glue together geez like something kid would bring home elementary school texas roadhouse addressed really know embarrassing give gift dead serious idea supposed nice gift presentation card envelope take away resemblance thoughtful gift never notbuy notfrom notyou tell many people cheap ughhh,2.4525,1.4525000000000001
1,,True,"12 7, 2015",A8Y7QQQ8J3MKX,B004Q7CK9M,{'Gift Amount:': ' 50'},Mrs Cook,I ordered the Christmas Cat design gift card and got a plain black gift card that I could've bought anywhere. What was the sense in that?,Not what I ordered.,1449446400,,Negative,ordered christmas cat design gift card got plain black gift card couldve bought anywhere sense,2.3602,1.3601999999999999
3,,True,"10 7, 2014",AWZRK18KBQ1MR,B004KNWWR2,,alice baty,"It was difficult to get a clear print---had to try several times. Otherwise, it was good.",it was good.,1412640000,,Neutral,difficult get clear printhad try several time otherwise good,3.367,0.367
2,,True,"05 9, 2016",A3OY066O8YHABN,B014S1KPKG,{'Gift Amount:': ' 50'},Jeff Holtmeier,"You did not NOT_tell NOT_the NOT_recipient who it was from. Considering all the gift cards you send out, that seems like a weird omission (and bad customer service).",that seems like a weird omission (and bad customer service),1462752000,,Negative,not nottell notthe notrecipient considering gift card send seems like weird omission bad customer service,2.4413,0.4413
5,,True,"03 11, 2013",A58VLJ3KK1G76,B0066AZGJI,,Caleb Wyatt,no NOT_problems NOT_whatsoever NOT_with this service. great option for bday gifts! i would definitely use this again and recommend to others.,great option for birthday gifts,1362960000,,Positive,no notproblems notwhatsoever notwith service great option bday gifts! would definitely use recommend others,4.8498,0.1501999999999999
3,2,True,"12 15, 2015",A5WLDN1VHHH7P,B00KV30IHG,,Jen,"It came with no NOT_gift NOT_card, NOT_just a barcode on the back! Hope this is legit when my 13 year old opens it Christmas morning?! That it actually does work??",No card attached,1450137600,,Neutral,came no notgift notcard notjust barcode back! hope legit year old open christmas morning! actually work,3.3409,0.3409
3,,True,"05 3, 2012",AJL79YZNK9N6H,B004LLIL5A,,Modtch,"It would be good to be notified when the recipient picks up the gift. I had to resend it twice, due to different email addresses, and did not NOT_know NOT_that NOT_it was not NOT_picked NOT_up.",Gift Card process,1336003200,,Neutral,would good notified recipient pick gift resend twice due different email address not notknow notthat notit not notpicked notup,3.5602,0.5602
3,,False,"11 28, 2017",A3GEDTLLTCSSTE,B01E4QPDV6,{'Gift Amount:': ' 50'},Mary Johnson,The item arrived quickly. I was very disappointed by the wrap and tag.....tag was mostly unreadable. I will have to change it. I paid extra for the wrap.,I was very disappointed by the wrap and tag,1511827200,,Neutral,item arrived quickly disappointed wrap tagtag mostly unreadable change paid extra wrap,2.5795,0.4205000000000001
3,3,False,"08 21, 2015",A2FMZYNI3X8CE3,B0091JL3OI,{'Gift Amount:': ' 50'},Lagogima,"I ordered the Amazon box, but received an entirely different container -- a little metal box that was not NOT_at NOT_all NOT_what I wanted. Too late to return or order another.",Not what I ordered,1440115200,,Neutral,ordered amazon box received entirely different container little metal box not notat notall notwhat wanted late return order another,3.072,0.07200000000000006
3,,True,"01 27, 2016",ANL4EFNZW4ZNK,B004Q7CK9M,{'Gift Amount:': ' 40'},Saramarceline,"It arrived in a timely fashion, but there was no NOT_indication NOT_of NOT_who it was from. So, I think it was not NOT_clear NOT_where NOT_to put a note on the page I bought it on.","It arrived in a timely fashion, but there was ...",1453852800,,Neutral,arrived timely fashion no notindication notof notwho think not notclear notwhere notto put note page bought,2.6628,0.33720000000000017
1,29,True,"02 11, 2015",A3QHLL1WCOSD2L,B00ADR2XIC,,Giuseppe Munno,"This is the last time I purchase another gift card from Amazon. Their fulfillment center is a bunch of crack smoking idiots who do not NOT_give NOT_a NOT_hoot about quality. In this attempt, the gift box arrived looking like it had been used as a hockey puck across the warehouse floor. It is dirty, disgusted, dented, scratched mess. The box itself appears to have come from a pristine white to a faded, been sitting on the shelf for 10 years look. Certainly not NOT_going NOT_to NOT_present this box as a part of the gift so it's off to the store to buy a new gift box AGAIN! And I say again because I had a similar issue over Christmas with another gift card and after 3 attempts and a month of running around with customer service, I finally gave up getting the right product shipped to me in the right box. I'm telling you, Amazon needs to get a handle on this cause this fulfillment center is not NOT_living NOT_up NOT_to Amazon standards. Trust me, go to the local super market and buy the cards there along with the appropriate gift box. At least you can control the quality of your gift at that point.",TOTAL DISAPPOINTMENT!,1423612800,['https://images-na.ssl-images-amazon.com/images/I/71xe-xYv7EL._SY88.jpg'],Negative,last time purchase another gift card amazon fulfillment center bunch crack smoking idiot not notgive nota nothoot quality attempt gift box arrived looking like used hockey puck across warehouse floor dirty disgusted dented scratched mess box appears come pristine white faded sitting shelf year look certainly not notgoing notto notpresent box part gift store buy new gift box again! say similar issue christmas another gift card attempt month running around customer service finally gave getting right product shipped right box im telling amazon need get handle cause fulfillment center not notliving notup notto amazon standard trust go local super market buy card along appropriate gift box least control quality gift point,2.5821,1.5821
3,,True,"02 6, 2018",A36MQY2HNRIA2W,B0091JKY0M,{'Gift Amount:': ' 50'},Larkhall,"Tins are easily scratched, but was kind of disappointed this gift box arrived scratched. Probably should be wrapped in plastic or in a plastic bag. But, I saved a couple bucks than having to buy one at a store since this came free with the Gift Card. The card was taken out and the tin was tossed away anyway.","Came a little scratched, but it's Free",1517875200,,Neutral,tin easily scratched kind disappointed gift box arrived scratched probably wrapped plastic plastic bag saved couple buck buy one store since came free gift card card taken tin tossed away anyway,3.7427,0.7427000000000001
1,3,True,"07 12, 2016",A3813819DW30AW,B00F2RZAC4,,Christa Everett,Got this for my son for Christmas. He just tried to use it and was told there was nothing NOT_on NOT_it! NOT_Zero stars! :(,Got this for my son for Christmas. He just ...,1468281600,,Negative,got son christmas tried use told nothing noton notit! notzero stars!,1.3681,0.3681000000000001
5,,True,"06 20, 2018",AKHGNKPIOKBRQ,B0091JKVU0,{'Gift Amount:': ' 0'},Georgia Ann Hampton,Grandchildren always love Amazon gift cards!,Five Stars,1529452800,,Positive,grandchild always love amazon gift cards!,4.8751,0.12490000000000023
3,,True,"02 18, 2016",A3FO7HXQV84Z8A,B00H5BMRN0,,Amazon Customer,Creative video but some glitches to watch.,Three Stars,1455753600,,Neutral,creative video glitch watch,3.1906,0.19059999999999988
2,,False,"04 13, 2012",A38U43U4WVLHPA,B005ESMMWW,,tylashia,"Why can I not NOT_get NOT_a NOT_free app download with out me having a credit card to pay for it, especially if its free",why do i have to use a credit card if something is free of charge,1334275200,,Negative,not notget nota notfree app download credit card pay especially free,2.9575,0.9575
3,,True,"09 18, 2016",A3519AWEF70TDB,B00F2RZMEA,,LandJ,ok,Three Stars,1474156800,,Neutral,ok,3.2368,0.23680000000000012
1,,False,"01 2, 2013",A1NRYRF6FUVZJP,B004Q7CK9M,{'Gift Amount:': ' 30'},ceghudlow,"Amazon gift cards should be the perfect no NOT_hassle NOT_Christmas NOT_gift. However, for two years in a row now, the gift messages that I include with my gift card purchases have not NOT_been NOT_included NOT_- in fact, the receiver had no NOT_idea NOT_who NOT_sent the card unless I mentioned it to them. This is really not NOT_acceptable NOT_for NOT_a company the size of Amazon. Next year, I will probably have to go with gift cards from a competitor.",No Gift Message for 2nd Year in a Row,1357084800,,Negative,amazon gift card perfect no nothassle notchristmas notgift however two year row gift message include gift card purchase not notbeen notincluded not fact receiver no notidea notwho notsent card unless mentioned really not notacceptable notfor nota company size amazon next year probably go gift card competitor,2.5385,1.5385
5,,True,"12 17, 2013",A19Q84SCE5P1T4,B004KNWX8U,,Linda Knight,"I will probably use this service again. It was quick, did not NOT_have NOT_to NOT_leave my home, and it gave my friend an opportunity to buy something she would want.",solved a gift giving idea,1387238400,,Positive,probably use service quick not nothave notto notleave home gave friend opportunity buy something would want,4.7944,0.20559999999999956
5,,False,"03 10, 2018",A2MAV0IG1AILAQ,B004Q7CK9M,{'Gift Amount:': ' 150'},Audrey,The convenience and reliability.,Five Stars,1520640000,,Positive,convenience reliability,4.2,0.7999999999999998
1,212,False,"10 24, 2012",A3TA8GLRYU15I0,B004LLIL4G,,John E,"Although I have sent you a reminder my daughter-in-law has still not NOT_received NOT_her NOT_gift. What are you going to do to put this right ?<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Amazon-com-Gift-Cards-E-mail-Delivery/dp/BT00DC6QU4/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Amazon.com Gift Cards - E-mail Delivery</a>",Non-delivery of Gift Card,1351036800,,Negative,although sent reminder daughterinlaw still not notreceived nother notgift going put right datahookproductlinklinked classalinknormal hrefamazoncomgiftcardsemaildeliverydpbtdcqurefcmcrarpdrvwtxtieutfamazoncom gift card email deliverya,2.2032,1.2031999999999998
2,,True,"04 17, 2016",A3HS9UHP95BZ40,B0080IR6BA,{'Gift Amount:': ' 50'},lightsnail,"I planned to buy the gift card because of the box! Otherwise, I will choose to buy a electronic gift card. But, the box disappointed me. It is not NOT_as NOT_good NOT_as shown on website. Many scratches on the box.",scratches on the gift box,1460851200,,Negative,planned buy gift card box! otherwise choose buy electronic gift card box disappointed not notas notgood notas shown website many scratch box,2.1041,0.10409999999999986
1,,False,"09 17, 2017",AOTENL1N4XIK5,B005DHN6E2,,PedroTUA,"No NOT_star! NOT_It NOT_was supposed to be a gift! But when I received it, the card was damaged, and I could not NOT_give NOT_it NOT_to my friend!",No Star!,1505606400,,Negative,no notstar! notit notwas supposed gift! received card damaged could not notgive notit notto friend!,2.1177,1.1177000000000001
3,,True,"01 18, 2016",AUJT17FRXZL4Q,B00GDHVSYG,,J. D. Pail,The nieces loved them; if only they had arrived in time for XMas as shipping suggested.,Three Stars,1453075200,,Neutral,niece loved arrived time xmas shipping suggested,3.4795,0.4794999999999998
3,,True,"07 26, 2017",A2IXS7BFYEI8HC,B01E4QS95I,{'Gift Amount:': ' 25'},Elly Kaufman,Xmas presents,As Expected,1501027200,,Neutral,xmas present,3.0,0.0
5,,True,"10 25, 2014",A2E9QKADSPHGHV,B00H5BO7HY,,HLGStrider,Yeah it's just a gift card but it is also an animated cat! I ca not NOT_stop NOT_watching NOT_the cat.,Yeah it's just a gift card but it is also ...,1414195200,,Positive,yeah gift card also animated cat! ca not notstop notwatching notthe cat,4.5436,0.45640000000000036
5,,True,"07 17, 2016",A23VMMAP5FX85F,B00H5BNLUS,,Ginger,"Love hoops and yoyo! Pairing it with an card, oh so easy!",Five Stars,1468713600,,Positive,love hoop yoyo! pairing card oh easy!,4.8982,0.10179999999999989
1,,False,"06 5, 2018",A3E7MBFDI5OERB,B004LLIKVU,{'Gift Amount:': ' 50'},william,Wish to cancel my latest order,One Star,1528156800,,Negative,wish cancel latest order,1.9423,0.9422999999999999
5,,True,"04 18, 2017",ATCW5PLYUR1XJ,B00BWDH0LQ,,wawis,Good,Five Stars,1492473600,,Positive,good,4.5523,0.4477000000000002
3,,True,"02 14, 2017",A2CFHWYKHKUMNR,B0091JKVU0,{'Gift Amount:': ' 0'},Bryan Lioce,Do not NOT_like NOT_that NOT_you have to write a review just let me give it start and go away. lol Worked as designed it is a gift card,Don't like that you have to write a review just let ...,1487030400,,Neutral,not notlike notthat notyou write review let give start go away lol worked designed gift card,3.5526,0.5526
5,,True,"12 28, 2016",A3DSN8JNLJVCNO,B00ADR2XIC,,Beneal Crosby,Received the next day.,Five Stars,1482883200,,Positive,received next day,4.2,0.7999999999999998
5,,True,"01 20, 2016",A15IE3EIQBU8QC,B00NU8FTK0,,Jami Anderson,Love this food,excellent,1453248000,,Positive,love food,4.7095,0.29049999999999976
5,,True,"02 23, 2016",A23QZSL309YLOD,B0091JKVU0,{'Gift Amount:': ' 50'},dcwuellner,My daughter now has her own money outside the budget.,A nice Christmas gift,1456185600,,Positive,daughter money outside budget,4.2,0.7999999999999998
3,,True,"06 6, 2014",A1SKTI0UUHT5TH,B0080IR6BA,{'Gift Amount:': ' 50'},Kathryn,I received the item really fast so I gave it a three star. The box looks nice on the picture but it was totally scratched and damaged when I receive it. The package was not NOT_damaged NOT_but NOT_the box was.,Damaged box,1402012800,,Neutral,received item really fast gave three star box look nice picture totally scratched damaged receive package not notdamaged notbut notthe box,2.5856,0.4144000000000001
3,,True,"01 9, 2016",A3DLHWCUQ5STQH,B00PABVTS6,,Amazon Customer,No NOT_happy NOT_that NOT_I did not NOT_get NOT_the NOT_card in the mail. I had to print it out on the computer and give the print out as a gift. Would have preferred a card in the mail.,No happy that I didn't get the card in the mail,1452297600,,Neutral,no nothappy notthat noti not notget notthe notcard mail print computer give print gift would preferred card mail,3.1423,0.1423000000000001
1,,True,"01 12, 2013",A3T53PU1AX91NG,B004LLIL5A,,Judith C. Gavin,The person I sent it to did not NOT_get NOT_it. NOT_I am not NOT_sure NOT_how NOT_to handle it and get it to them.,Gift Certificate,1357948800,,Negative,person sent not notget notit noti not notsure nothow notto handle get,1.8,0.8
1,2,True,"06 19, 2018",A3G29UXO113SFZ,B01FYJMJHI,,Laura Stewart,"I sent this to a friend in need, who walked an hour to the nearest Safeway only to have the employees simply refuse to redeem it. Safeway/Amazon simply stole my money. I paid for a completely worthless item. Having this available is a scam.",Store refused to redeem; this is a scam,1529366400,,Negative,sent friend need walked hour nearest safeway employee simply refuse redeem safewayamazon simply stole money paid completely worthless item available scam,1.2329,0.2329000000000001
5,,False,"05 30, 2015",AOR4QMLHY2JMA,B00MV9N316,,Maritza,Very good,Five Stars,1432944000,,Positive,good,4.5942,0.40580000000000016
2,,True,"01 24, 2015",A38UYC33FM5YYM,B004Q7CK9M,{'Gift Amount:': ' 25'},Sharon Wagner,"4 out of the 6 gift cards I ordered were not NOT_turned NOT_on, NOT_thus ruining the surprise for 4 young adults.. I order them specially from Amazon because I hate when gift cards do not NOT_work. NOT_What NOT_a waste. Yes, you replaced them, but not NOT_until NOT_AFTER NOT_Christmas.",I order them specially from Amazon because I hate when gift cards don't work,1422057600,,Negative,gift card ordered not notturned noton notthus ruining surprise young adult order specially amazon hate gift card not notwork notwhat nota waste yes replaced not notuntil notafter notchristmas,2.581,0.581
1,,True,"06 22, 2015",ANCFIE9QUCH3P,B004Q7CK9M,{'Gift Amount:': ' 100'},Amazon Customer,It only had 10 cents on it,One Star,1434931200,,Negative,cent,1.8,0.8
3,2,True,"12 17, 2013",A3VRT4LDFD38I7,B00BXLTZ6K,,mlv,"This gift requested by my grandsons. Other gift certificates from other vendors arrived in a presentable gift box ready for gift wrapping. These arrived just as I would have taken them from a carousal in a grocery store. Not NOT_complaining, NOT_just not NOT_impressed.",Gift Certificate,1387238400,,Neutral,gift requested grandson gift certificate vendor arrived presentable gift box ready gift wrapping arrived would taken carousal grocery store not notcomplaining notjust not notimpressed,3.7361,0.7361
1,,True,"06 4, 2018",A1USXWZ3LE7CRB,B004LLIKVU,{'Gift Amount:': ' 50'},Vivian S.,This product was not NOT_able NOT_to NOT_be used and now i am doubtful to trust this method of gift carding. Has happened more then once too with other people ive sent them to. Be Ware.,This product was not able to be used and now ...,1528070400,,Negative,product not notable notto notbe used doubtful trust method gift carding happened people ive sent ware,2.2687,1.2687
5,,False,"02 11, 2013",A2C38MXXPM4KKH,B004RD8XPK,,Mary,"This was my first time using the Email Gift card service from Amazon and I have to say, I was delighted with the efficiency of the service. Every step of the way, I was advised on progress - when the gift cards were delivered, when the recipients accessed them, and was then given feedback from the recipients through Amazon! Would highly recommend the email gift card service for Amazon for any looking for gift ideas! Mary",Awesome Service!,1360540800,,Positive,first time using email gift card service amazon say delighted efficiency service every step way advised progress gift card delivered recipient accessed given feedback recipient amazon! would highly recommend email gift card service amazon looking gift ideas! mary,4.9814,0.018600000000000172
3,,True,"03 18, 2013",A3T02X9G2EYOCD,B004Q7CK9M,{'Gift Amount:': ' 20'},L. Iglesias,"I of course love the convenience and the free delivery, however, I wish I could have personalized my note with Spanish. I could not NOT_use NOT_an NOT_""n"" with a tilde over it and unfortunately the ascii symbols I used were scrambled. Please, please update this feature! Allow other languages to be used as well. Otherwise, I have not NOT_a NOT_bad NOT_thing to say about this very nice service.",What about writing in other languages?,1363564800,,Neutral,course love convenience free delivery however wish could personalized note spanish could not notuse notan notn tilde unfortunately ascii symbol used scrambled please please update feature! allow language used well otherwise not nota notbad notthing say nice service,3.7657,0.7656999999999998
3,,True,"11 22, 2016",A1EXYKIEYDKLWO,B0187SVQNG,,Rooster,They liked it,Three Stars,1479772800,,Neutral,liked,3.3372,0.33720000000000017
5,,True,"02 23, 2015",A3MVSZ7A86YM6K,B00FJ4CDGQ,,Mailin Rojas,PERFECT,Five Stars,1424649600,,Positive,perfect,4.6575,0.34250000000000025
5,,True,"08 15, 2016",A39EM8KIZO4KQF,B014S24DAI,{'Gift Amount:': ' 50'},E Lopez,"So nice to keep one of these on hand. Never NOT_know NOT_when NOT_something unexpected comes up and you have a great gift, waiting. Everyon is excited about getting an Amazon card.",So nice to keep one of these on hand,1471219200,,Positive,nice keep one hand never notknow notwhen notsomething unexpected come great gift waiting everyon excited getting amazon card,4.9574,0.04260000000000019
5,,True,"04 20, 2016",A1Y83EDHVJNZ1T,B00O4I5S7O,,Kindle Customer,Great Christmas gifts.,Five Stars,1461110400,,Positive,great christmas gift,4.6999,0.3000999999999996
1,2,True,"01 22, 2017",A2TJXONGZJSGND,B0091JKVU0,{'Gift Amount:': ' 0'},Amazon Customer,Person had no NOT_idea NOT_who NOT_gift cane from,One Star,1485043200,,Negative,person no notidea notwho notgift cane,1.5632,0.5631999999999999
3,,False,"06 12, 2018",A2CZXSFL0X3RL3,B01B25LFGY,{'Gift Amount:': ' 0'},Debbie,"The only thing about this order was they left off the note I clearly sent along with the card. The recipient could not NOT_figure NOT_out NOT_who sent this gift and ended up calling so many people until they reached me. Other then that, I would have given this 5 stars.",The only thing about this order was they left off ...,1528761600,,Neutral,thing order left note clearly sent along card recipient could not notfigure notout notwho sent gift ended calling many people reached would given star,3.6049,0.6049000000000002
3,,True,"06 3, 2014",A3FQ2X6NG39A2Y,B00H5BM6JU,,Elaine Fields,Did not NOT_see NOT_a NOT_card suitable for my adult son. Wanted something related to his personality. He is a rock climber and a wind engineer.,Gift card,1401753600,,Neutral,not notsee nota notcard suitable adult son wanted something related personality rock climber wind engineer,3.0,0.0
5,,True,"01 24, 2016",A2MM5TM3PCKTAC,B00OD4L5DA,,K. Groves,Perfect for family that lives far way. These gift cards are a life saver for last minute gifts!,Quick and Easy,1453593600,,Positive,perfect family life far way gift card life saver last minute gifts!,4.8272,0.17279999999999962
5,,True,"09 24, 2012",A2306JZS5K6HPU,B004KNWX6C,,Grand2,"Given as part of a birthday gift and it was easy to do. There were lots of choices for ""special occasion"" cover.",Gift Card,1348444800,,Positive,given part birthday gift easy lot choice special occasion cover,4.8541,0.14590000000000014
3,,True,"01 9, 2015",A2QKWMAZCWT8AO,B00BXLTUBA,,Csar Aguirre,Great,Three Stars,1420761600,,Neutral,great,3.4999,0.4998999999999998
1,,False,"07 10, 2015",A202OLFMUIKMS9,B004Q7CK9M,{'Gift Amount:': ' 50'},Dan,"The gift wrapping was AWFUL! Smashed, untied, and not NOT_at NOT_all NOT_as pictured.",Disappointed in Gift Options,1436486400,,Negative,gift wrapping awful! smashed untied not notat notall notas pictured,1.5769,0.5769
5,,True,"08 30, 2016",A2MGOFRYPYNH5T,B00MV9P8MS,,Christine Szabo,Son lives in CA and this was easy for me to send him to use for a one trip grocery shopping.,Very easy to use.,1472515200,,Positive,son life ca easy send use one trip grocery shopping,4.5523,0.4477000000000002
1,,False,"12 22, 2013",ARDSHBXKDNNT1,B0069VHL5Q,,John225,Why did they put that giant letter a smack in the middle of the Christmas globe?? Amazon is not NOT_giving NOT_the NOT_gift. The gift card surely has amazon.com written somewhere. Bad design.,BAD DESIGN,1387670400,,Negative,put giant letter smack middle christmas globe amazon not notgiving notthe notgift gift card surely amazoncom written somewhere bad design,2.2163,1.2163
